gameid,team,player,champion,win_loss
112966697102367372,PNG,CarioK,Skarner,Win
112966697102367372,PNG,dyNquedo,Tristana,Win
112966697102367372,PNG,TitaN,Kalista,Win
112966697102367372,PNG,Kuri,Neeko,Win
112966697102367372,VKE,Nanaue,Udyr,Loss
112966697102367372,VKE,Gury,Brand,Loss
112966697102367372,VKE,Kati,Smolder,Loss
112966697102367372,VKE,Shogun,MissFortune,Loss
112966697102367372,VKE,Bie,Leona,Loss
112966697102367373,VKE,Nanaue,KSante,Loss
112966697102367373,VKE,Gury,Shyvana,Loss
112966697102367373,VKE,Kati,Tristana,Loss
112966697102367373,VKE,Shogun,Ashe,Loss
112966697102367373,VKE,Bie,Poppy,Loss
112966697102367373,PNG,Wizer,Jax,Win
112966697102367373,PNG,CarioK,Sejuani,Win
112966697102367373,PNG,dyNquedo,Akali,Win
112966697102367373,PNG,TitaN,Jhin,Win
112966697102367373,PNG,Kuri,Bard,Win
112966697102367377,SHG,Evi,RekSai,Loss
112966697102367377,SHG,Forest,Sejuani,Loss
112966697102367377,SHG,DasheR,Syndra,Loss
112966697102367377,SHG,Marble,Jhin,Loss
112966697102367377,SHG,Vsta,Alistar,Loss
112966697102367377,100,Sniper,Renekton,Win
112966697102367377,100,River,Nocturne,Win
112966697102367377,100,Quid,Orianna,Win
112966697102367377,100,Tomo,Ashe,Win
112966697102367377,100,Eyla,Braum,Win
112966697102367380,PNG,Wizer,Jax,Loss
112966697102367380,PNG,CarioK,Maokai,Loss
112966697102367380,PNG,dyNquedo,Ahri,Loss
112966697102367380,PNG,TitaN,Lucian,Loss
112966697102367380,PNG,Kuri,Nami,Loss
112966697102367380,R7,Summit,KSante,Win
112966697102367380,R7,Oddie,Poppy,Win
112966697102367380,R7,Keine,Syndra,Win
112966697102367380,R7,Ceo,Xayah,Win
112966697102367380,R7,Lyonz,Rakan,Win
112966697102367381,PNG,Wizer,Jax,Win
112966697102367381,PNG,CarioK,Sejuani,Win
112966697102367381,PNG,dyNquedo,Ahri,Win
112966697102367381,PNG,TitaN,Lucian,Win
112966697102367381,PNG,Kuri,Nami,Win
112966697102367381,R7,Summit,KSante,Loss
112966697102367381,R7,Oddie,Poppy,Loss
112966697102367381,R7,Keine,Hwei,Loss
112966697102367381,R7,Ceo,Xayah,Loss
112966697102367381,R7,Lyonz,Rakan,Loss
112966697102367382,R7,Summit,Renekton,Loss
112966697102367382,R7,Oddie,Sejuani,Loss
