gameid,team,player,champion,kills,deaths,assists
ESPORTSTMNT04_1970442,Cloud9,Zven,Miss Fortune,3,0,6
ESPORTSTMNT04_1970442,Cloud9,Vulcan,Leona,1,1,9
ESPORTSTMNT04_1970442,DetonatioN FocusMe,,,4,13,6
ESPORTSTMNT04_1970442,Cloud9,,,13,4,26
ESPORTSTMNT04_1970451,Unicorns of Love.CIS,BOSS,Camille,4,5,3
ESPORTSTMNT04_1970451,Unicorns of Love.CIS,AHaHaCiK,Trundle,2,4,5
ESPORTSTMNT04_1970451,Unicorns of Love.CIS,Nomanz,LeBlanc,1,3,4
ESPORTSTMNT04_1970451,Unicorns of Love.CIS,MDB,Ezreal,1,5,3
ESPORTSTMNT04_1970451,Unicorns of Love.CIS,SaNTaS,Amumu,1,6,4
ESPORTSTMNT04_1970451,Galatasaray Esports,Crazy,Gwen,3,1,9
ESPORTSTMNT04_1970451,Galatasaray Esports,Mojito,Talon,5,4,10
ESPORTSTMNT04_1970451,Galatasaray Esports,Bolulu,Twisted Fate,5,0,13
ESPORTSTMNT04_1970451,Galatasaray Esports,Alive,Miss Fortune,9,2,5
ESPORTSTMNT04_1970451,Galatasaray Esports,Zergsting,Rakan,0,2,16
ESPORTSTMNT04_1970451,Unicorns of Love.CIS,,,9,23,19
ESPORTSTMNT04_1970451,Galatasaray Esports,,,22,9,53
ESPORTSTMNT04_1970467,PEACE,Vizicsacsi,Renekton,0,4,0
ESPORTSTMNT04_1970467,PEACE,Babip,Lillia,4,5,1
ESPORTSTMNT04_1970467,PEACE,Tally,Irelia,1,4,1
ESPORTSTMNT04_1970467,PEACE,Violet,Tristana,1,4,3
ESPORTSTMNT04_1970467,PEACE,Aladoric,Rakan,0,4,5
ESPORTSTMNT04_1970467,Hanwha Life Esports,Morgan,Aatrox,4,0,6
ESPORTSTMNT04_1970467,Hanwha Life Esports,Willer,Taliyah,8,2,6
ESPORTSTMNT04_1970467,Hanwha Life Esports,Chovy,Azir,3,0,4
ESPORTSTMNT04_1970467,Hanwha Life Esports,Deft,Miss Fortune,6,1,8
ESPORTSTMNT04_1970467,Hanwha Life Esports,Vsta,Amumu,0,4,14
ESPORTSTMNT04_1970467,PEACE,,,6,21,10
ESPORTSTMNT04_1970467,Hanwha Life Esports,,,21,7,38
ESPORTSTMNT04_1970482,RED Canids,Guigo,Kennen,0,5,1
ESPORTSTMNT04_1970482,RED Canids,Aegis,Xin Zhao,1,3,1
ESPORTSTMNT04_1970482,RED Canids,Grevthar,Irelia,1,1,3
ESPORTSTMNT04_1970482,RED Canids,TitaN,Miss Fortune,2,3,1
ESPORTSTMNT04_1970482,RED Canids,JoJo,Lulu,1,3,3
ESPORTSTMNT04_1970482,LNG Esports,Ale,Jayce,4,2,5
ESPORTSTMNT04_1970482,LNG Esports,Tarzan,Gragas,3,2,9
ESPORTSTMNT04_1970482,LNG Esports,ICON,Zed,2,1,0
ESPORTSTMNT04_1970482,LNG Esports,Light,Lucian,6,0,5
ESPORTSTMNT04_1970482,LNG Esports,Iwandy,Rakan,0,0,11
ESPORTSTMNT04_1970482,RED Canids,,,5,15,9
ESPORTSTMNT04_1970482,LNG Esports,,,15,5,30
ESPORTSTMNT04_1970490,inf,Buggax,Gnar,13,4,1
ESPORTSTMNT04_1970490,inf,Solid,Lee Sin,1,6,11
ESPORTSTMNT04_1970490,inf,cody,Sylas,1,6,9
ESPORTSTMNT04_1970490,inf,WhiteLotus,Aphelios,2,3,7
ESPORTSTMNT04_1970490,inf,Ackerman,Rakan,0,2,12
ESPORTSTMNT04_1970490,PEACE,Vizicsacsi,Jayce,4,4,4
ESPORTSTMNT04_1970490,PEACE,Babip,Lillia,8,4,7
ESPORTSTMNT04_1970490,PEACE,Tally,Irelia,6,5,11
ESPORTSTMNT04_1970490,PEACE,Violet,Xayah,3,1,7
ESPORTSTMNT04_1970490,PEACE,Aladoric,Leona,0,3,15
ESPORTSTMNT04_1970490,inf,,,17,21,40
ESPORTSTMNT04_1970490,PEACE,,,21,17,44
ESPORTSTMNT04_1970496,RED Canids,Guigo,Jax,3,5,3
ESPORTSTMNT04_1970496,RED Canids,Aegis,Xin Zhao,1,5,4
ESPORTSTMNT04_1970496,RED Canids,Grevthar,Twisted Fate,3,4,6
ESPORTSTMNT04_1970496,RED Canids,TitaN,Miss Fortune,2,3,6
ESPORTSTMNT04_1970496,RED Canids,JoJo,Amumu,1,4,6
ESPORTSTMNT04_1970496,Hanwha Life Esports,Morgan,Camille,4,4,7
ESPORTSTMNT04_1970496,Hanwha Life Esports,Willer,Taliyah,4,2,9
ESPORTSTMNT04_1970496,Hanwha Life Esports,Chovy,Sylas,1,0,10
ESPORTSTMNT04_1970496,Hanwha Life Esports,Deft,Kai'Sa,9,2,3
ESPORTSTMNT04_1970496,Hanwha Life Esports,Vsta,Leona,3,2,10
ESPORTSTMNT04_1970496,RED Canids,,,10,21,25
ESPORTSTMNT04_1970496,Hanwha Life Esports,,,21,10,39
ESPORTSTMNT04_1970501,Beyond Gaming,Liang,Lillia,3,4,6
ESPORTSTMNT04_1970501,Beyond Gaming,Husha,Graves,4,6,7
ESPORTSTMNT04_1970501,Beyond Gaming,1116,Yone,2,5,8
ESPORTSTMNT04_1970501,Beyond Gaming,Doggo,Miss Fortune,7,4,7
ESPORTSTMNT04_1970501,Beyond Gaming,Kino,Amumu,0,7,11
ESPORTSTMNT04_1970501,Cloud9,Fudge,Malphite,4,2,14
ESPORTSTMNT04_1970501,Cloud9,Blaber,Lee Sin,4,3,8
ESPORTSTMNT04_1970501,Cloud9,Perkz,Sylas,6,5,8
ESPORTSTMNT04_1970501,Cloud9,Zven,Ezreal,9,1,5
ESPORTSTMNT04_1970501,Cloud9,Vulcan,Leona,3,5,15
ESPORTSTMNT04_1970501,Beyond Gaming,,,16,26,39
ESPORTSTMNT04_1970501,Cloud9,,,26,16,50
